price	engine	weight	hp	consumption
11600.00	846.00	650.00	32.00	5.70
12490.00	993.00	790.00	39.00	5.80
10450.00	899.00	730.00	29.00	6.10
17140.00	1390.00	955.00	44.00	6.50
14825.00	1195.00	895.00	33.00	6.80
13730.00	658.00	740.00	32.00	6.80
19490.00	1331.00	1010.00	55.00	7.10
25000.00	1597.00	1080.00	74.00	7.40
22350.00	1761.00	1100.00	74.00	9.00
36600.00	2165.00	1500.00	101.00	11.70
22500.00	1983.00	1075.00	85.00	9.50
31580.00	1984.00	1155.00	85.00	9.50
28750.00	1998.00	1140.00	89.00	8.80
22600.00	1580.00	1080.00	65.00	9.30
20300.00	1390.00	1110.00	54.00	8.60
19900.00	1396.00	1140.00	66.00	7.70
39800.00	2435.00	1370.00	106.00	10.80
19740.00	1242.00	940.00	55.00	6.60
38990.00	2972.00	1400.00	107.00	11.70
50800.00	2958.00	1550.00	150.00	11.90
36200.00	2497.00	1330.00	122.00	10.80
47700.00	2496.00	1670.00	125.00	11.30
36950.00	1998.00	1560.00	89.00	10.80
26950.00	1997.00	1240.00	92.00	9.20
36400.00	1984.00	1635.00	85.00	11.60
50900.00	2438.00	1800.00	97.00	12.80
49300.00	2473.00	1570.00	125.00	12.70
