"week","temp"
1,59.2
2,56.5
3,55.7
4,56.1
5,58.4
6,58.5
7,59.4
8,59.9
9,63.4
10,68.1
11,59.9
12,65
13,56.6
14,57.4
15,73.8
16,70
17,66.4
18,70.1
19,67.7
20,75.6
21,73.5
22,79.8
23,80.8
24,88.6
25,82
26,83.8
27,87
28,80.9
29,81.3
30,83.1
31,84
32,82.1
33,83.9
34,80.8
35,85.6
36,78.2
37,80.1
38,78.8
39,85.8
40,76.8
41,72.8
42,71.2
43,74.4
44,69.7
45,77.8
46,60.7
47,66.5
48,54.8
49,61.6
50,55.7
51,56
52,58.8
53,60.6
54,58
55,56.2
56,52.4
57,60.2
58,57.2
59,59.6
60,55.8
61,60.4
62,61.8
63,60.8
64,63.6
65,55.8
66,65.9
67,69.1
68,63.6
69,61.2
70,84.4
71,74.1
72,81.4
73,71.6
74,78.8
75,73.9
76,78.7
77,78.5
78,79.3
79,77.5
80,84
81,79
82,81
83,82.4
84,82.1
85,82.4
86,81.4
87,81.4
88,81.2
89,86.2
90,85.5
91,78
92,78.5
93,74.8
94,73.1
95,75.3
96,66.4
97,69.5
98,70.7
99,71.4
100,65.9
101,62.8
102,59.4
103,58.8
104,59.4
105,57.4
106,55.6
107,66.2
108,56.3
109,56.4
110,56.3
111,56.4
112,62.9
113,57.1
114,57.6
115,57.3
